Sipariş No	Tedarikçi Barkod	Sipariş Miktarı	Tedarikçi Ürün Kodu	Tedarikçi Malzeme Adı	Kalem No	Stok Kodu	Stok Adı	Birim
SAS-5581743944	2604300865	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21630	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301039	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21640	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300853	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21650	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300870	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21660	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300868	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21670	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301040	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21680	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301018	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21690	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300644	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21700	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300658	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21710	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300645	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21720	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300648	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21730	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300642	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21740	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300669	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21750	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604300646	36	120507297	23 FLEXI RULO BEYAZ 210x2,7	21760	HASURL0165	SUNGER PU RULO 23 DNS 190 NEWTON BEYAZ 210X2,7 DUZ	METRE
SAS-5581743944	2604301092	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	21770	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604301087	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21780	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301088	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21790	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301152	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21800	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301155	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21810	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301153	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21820	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301151	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21830	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301147	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21840	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301142	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21850	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301134	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21860	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301148	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21870	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301146	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21880	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301143	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21890	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301168	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21900	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301175	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21910	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301174	3	120577753	27 FLEXI DUZ GRI 188x88x18,5	21920	HASUPL11909	SUNGER PU PLAKA 27 DNS GRI 188X88X18,5 FLEXI DUZ	Adet
SAS-5581743944	2604301103	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	21930	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293223	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21940	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293228	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	21950	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604301099	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	21960	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604301096	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	21970	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604301098	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	21980	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604301095	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	21990	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293210	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22000	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293198	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22010	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293316	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22020	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293314	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22030	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293313	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22040	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293312	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22050	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293325	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22060	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604293326	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22070	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290981	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22080	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290985	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22090	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290986	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22100	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604290989	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22110	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604301093	2	120577754	27 FLEXI DUZ GRI 188x138x23,5	22120	HASUPL11904	SUNGER PU PLAKA 27 DNS GRI 188X138X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291047	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22130	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291046	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22140	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291045	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22150	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
SAS-5581743944	2604291042	2	120577756	27 FLEXI DUZ GRI 198x158x23,5	22160	HASUPL11906	SUNGER PU PLAKA 27 DNS GRI 198X158X23,5 FLEXI DUZ	Adet
